;ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_TIENEETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_ESPECIAL_GLOBAL;PERCENTIL_GLOBAL;ESTU_ESTADOINVESTIGACION
2214;TI;COLOMBIA;M;03/05/2002;20211;SB11202110065579;ESTUDIANTE;COLOMBIA;;ANTIOQUIA;5.0;MEDELLÍN;5001.0;Estrato  1;3  a  4;Dos;Primaria  incompleta;Primaria  incompleta;Trabaja  como  personal  de  limpieza,  mantenimiento,  seguridad  o  construcción;Trabaja  como  personal  de  limpieza,  mantenimiento,  seguridad  o  construcción;No;No;Si;No;Si;No;Si;No;0  A  10  LIBROS;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Igual;30  minutos  o  menos;Entre  1  y  3  horas;Más  de  30  horas;Si,  en  efectivo;729624;305360800046;INSTITUCIÓN  EDUCATIVA  ALIANZA  PARA  LA  EDUCACIÓN  EDUCANDO  S.A.S;MIXTO;NO  OFICIAL;A;;;305360800046;INSTITUCIÓN  EDUCATIVA  ALIANZA  PARA  LA  EDUCACIÓN  EDUCANDO  S.A.S  -  SEDE  PRINCIPAL;S;RURAL;MAÑANA;5360;ITAGÜÍ;5;ANTIOQUIA;N;5001;MEDELLÍN;ANTIOQUIA;5;45;9;2;53;27;3;47;19;2;38;9;1;28.0;1.0;A-;222;;11.0;PUBLICAR
10624;CC;COLOMBIA;M;23/02/2002;20211;SB11202110024296;ESTUDIANTE;COLOMBIA;No;ANTIOQUIA;5.0;MEDELLÍN;5001.0;Estrato  5;3  a  4;Tres;Secundaria  (Bachillerato)  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;No;No;0  A  10  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;Entre  30  y  60  minutos;Entre  1  y  3  horas;0;No;106120;305001000077;EL  NUEVO  COL  THE  NEW  SCHOOL;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;305001000077;EL  NUEVO  COL  THE  NEW  SCHOOL;S;RURAL;COMPLETA;5001;MEDELLÍN;5;ANTIOQUIA;N;5001;MEDELLÍN;ANTIOQUIA;5;65;60;3;51;22;3;51;26;2;56;39;3;74.0;54.0;B1;286;;36.0;PUBLICAR
14969;TI;COLOMBIA;F;08/01/2004;20211;SB11202110000973;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;1  a  2;Dos;Técnica  o  tecnológica  incompleta;Técnica  o  tecnológica  incompleta;No  sabe;Es  vendedor  o  trabaja  en  atención  al  público;Si;Si;Si;Si;Si;Si;No;Si;0  A  10  LIBROS;3  a  5  veces  por  semana;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Mejor;No  leo  por  entretenimiento;Más  de  3  horas;0;No;112227;376001041018;COLEGIO  MAYOR  SAN  ANTONIO  DE  PADUA;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001041018;COLEGIO  MAYOR  SAN  ANTONIO  DE  PADUA;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;61;43;3;62;49;3;61;57;3;62;55;3;63.0;38.0;A2;308;;50.0;PUBLICAR
14368;TI;COLOMBIA;M;15/06/2004;20211;SB11202110036084;ESTUDIANTE;COLOMBIA;No;ATLANTICO;8.0;BARRANQUILLA;8001.0;Estrato  4;3  a  4;Dos;Postgrado;Postgrado;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;Si;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;Igual;No  leo  por  entretenimiento;Más  de  3  horas;Menos  de  10  horas;Si,  en  efectivo;40154;308001007615;COLEGIO  LYNDON  B.  JOHNSON;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;308001007615;COLEGIO  LYNDON  B.  JOHNSON  -  SEDE  PRINCIPAL;S;URBANO;COMPLETA;8001;BARRANQUILLA;8;ATLANTICO;N;8001;BARRANQUILLA;ATLANTICO;8;66;64;4;69;72;3;71;90;4;70;83;3;78.0;64.0;B1;348;;78.0;PUBLICAR
9936;TI;COLOMBIA;M;01/06/2004;20211;SB11202110030032;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;3  a  4;Tres;Educación  profesional  completa;Educación  profesional  completa;No  aplica;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;Si;No;Si;Si;Si;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;Mejor;Entre  30  y  60  minutos;Entre  30  y  60  minutos;Menos  de  10  horas;Si,  en  efectivo;36897;376001000454;COLEGIO  MILITAR  JOSE  ACEVEDO  Y  GOMEZ;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001000454;COLEGIO  MILITAR  JOSE  ACEVEDO  Y  GOMEZ;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;62;47;3;70;73;3;73;92;4;62;56;3;74.0;55.0;B1;337;;69.0;PUBLICAR
6849;TI;COLOMBIA;F;12/12/0002;20211;SB11202110007978;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;1  a  2;Dos;No  sabe;Educación  profesional  completa;No  aplica;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;No;26  A  100  LIBROS;3  a  5  veces  por  semana;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Igual;30  minutos  o  menos;Entre  1  y  3  horas;Menos  de  10  horas;Si,  en  efectivo;628255;376001002279;COLEGIO  COLOMBO  BRITÁNICO;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;376001002279;COLEGIO  COLOMBO  BRITÁNICO;S;RURAL;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;67;66;4;63;53;3;68;81;3;67;73;3;88.0;93.0;B+;340;;72.0;PUBLICAR
548;TI;COLOMBIA;F;22/01/2004;20211;SB11202110063661;ESTUDIANTE;COLOMBIA;;CUNDINAMARCA;25.0;ZIPAQUIRÁ;25899.0;Estrato  4;5  a  6;Cinco;Secundaria  (Bachillerato)  completa;Técnica  o  tecnológica  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  en  el  hogar,  no  trabaja  o  estudia;No;Si;Si;Si;No;No;No;No;26  A  100  LIBROS;1  o  2  veces  por  semana;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Mejor;30  minutos  o  menos;Entre  1  y  3  horas;Menos  de  10  horas;No;111195;325175032424;CENTRO  EDUCATIVO  DE  ADULTOS  CEAM;MIXTO;NO  OFICIAL;OTRO;N;ACADÉMICO;325175032424;CENTRO  EDUCATIVO  DE  ADULTOS  CEAM  -  SEDE  PRINCIPAL;S;URBANO;NOCHE;25175;CHÍA;25;CUNDINAMARCA;N;25899;ZIPAQUIRÁ;CUNDINAMARCA;25;28;1;1;39;6;2;43;11;2;24;1;1;24.0;1.0;A-;164;;1.0;PUBLICAR
9074;TI;COLOMBIA;F;27/04/2003;20211;SB11202110011383;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  5;3  a  4;Tres;Educación  profesional  completa;Educación  profesional  completa;Es  vendedor  o  trabaja  en  atención  al  público;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;Si;Si;Si;No;Si;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;1  o  2  veces  por  semana;Igual;Entre  30  y  60  minutos;Entre  1  y  3  horas;0;No;50567;376001009176;COLEGIO  LAURETTA  BENDER;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001009176;COLEGIO  LAURETTA  BENDER;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;75;93;4;72;81;4;69;84;3;71;85;4;88.0;94.0;B+;365;;88.0;PUBLICAR
6729;TI;COLOMBIA;F;15/10/2003;20211;SB11202110007395;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  5;3  a  4;Dos;Educación  profesional  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;MÁS  DE  100  LIBROS;Nunca  o  rara  vez  comemos  eso;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;Más  de  2  horas;Entre  1  y  3  horas;0;No;24281;311769000165;COL  SAN  JORGE  DE  INGLATERRA;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;311769000165;COL  SAN  JORGE  DE  INGLATERRA;S;URBANO;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;72;87;4;71;78;4;65;72;3;62;58;3;77.0;61.0;B1;341;;73.0;PUBLICAR
5866;TI;COLOMBIA;M;06/09/2004;20211;SB11202110010886;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;3  a  4;Dos;Técnica  o  tecnológica  incompleta;Educación  profesional  completa;Es  operario  de  máquinas  o  conduce  vehículos  (taxita,  chofer);No  sabe;Si;Si;Si;No;Si;No;No;No;11  A  25  LIBROS;3  a  5  veces  por  semana;3  a  5  veces  por  semana;3  a  5  veces  por  semana;Peor;No  leo  por  entretenimiento;30  minutos  o  menos;0;No;70094;376001000900;COL  PARROQ  SAN  JUAN  BAUTISTA;MIXTO;NO  OFICIAL;B;N;TÉCNICO;376001000900;COL  PARROQ  SAN  JUAN  BAUTISTA;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;66;63;4;72;80;4;61;58;3;56;39;3;59.0;31.0;A2;317;;56.0;PUBLICAR
3254;TI;COLOMBIA;F;09/07/2003;20211;SB11202110012374;ESTUDIANTE;COLOMBIA;No;BOGOTÁ;11.0;BOGOTÁ  D.C.;11001.0;Estrato  5;3  a  4;Tres;Postgrado;Postgrado;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;Entre  1  y  2  horas;Más  de  3  horas;0;No;29231;311001033633;CENT  EDUC  Y  CULT  ESPAÑOL  REYES  CATOLICOS;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;311001033633;CENT  EDUC  Y  CULT  ESPAÑOL  REYES  CATOLICOS;S;URBANO;COMPLETA;11001;BOGOTÁ  D.C.;11;BOGOTÁ;N;11001;BOGOTÁ  D.C.;BOGOTÁ;11;67;68;4;75;87;4;65;73;3;70;82;3;84.0;83.0;B+;352;;80.0;PUBLICAR
6556;TI;COLOMBIA;M;17/12/2002;20211;SB11202110009757;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;3  a  4;Tres;Educación  profesional  completa;Educación  profesional  incompleta;No  aplica;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;Si;Si;0  A  10  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;Entre  30  y  60  minutos;Entre  1  y  3  horas;0;No;149856;376001014048;LICEO  BELLA  SUIZA;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001014048;LIC  BELLA  SUIZA;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;59;37;3;58;38;3;46;16;2;55;38;2;54.0;22.0;A1;272;;29.0;PUBLICAR
7636;TI;COLOMBIA;M;23/04/2003;20211;SB11202110012534;ESTUDIANTE;COLOMBIA;No;NARIÑO;52.0;PASTO;52001.0;Estrato  4;5  a  6;Cuatro;Educación  profesional  completa;Secundaria  (Bachillerato)  incompleta;Trabaja  por  cuenta  propia  (por  ejemplo  plomero,  electricista);Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Si;Si;Si;Si;Si;Si;Si;Si;11  A  25  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Peor;30  minutos  o  menos;Entre  1  y  3  horas;0;No;78972;352001004135;INST  SAN  FRANCISCO  DE  ASIS;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;352001004135;INST  SAN  FRANCISCO  DE  ASIS;S;URBANO;MAÑANA;52001;PASTO;52;NARIÑO;N;52001;PASTO;NARIÑO;52;31;1;1;33;3;1;28;1;1;23;1;1;21.0;1.0;A-;141;;1.0;PUBLICAR
